,start,n_intervals,device_id,prices
0,2023-10-10 15:15:00+00:00,60,1,"[12.742, 13.927, 10.478000000000002, 8.674, 8.865, 6.890000000000001, 6.325, 2.606, 0.785, 0.231, 0.326, 1.0, 8.013, 12.716, 12.788]"
1,2023-11-15 16:15:00+00:00,58,1,"[12.990000000000002, 12.108, 11.01, 9.75, 9.166, 8.421, 8.546, 8.325000000000001, 7.512, 7.406, 8.11, 8.703000000000001, 10.006, 12.69]"
2,2023-11-22 13:15:00+00:00,8,1,"[11.984000000000002, 12.7]"
3,2023-11-26 12:45:00+00:00,72,1,"[11.51, 12.326, 13.415, 14.381, 14.967, 14.378, 13.591, 12.241, 11.899, 10.244, 9.926000000000002, 9.409, 8.99, 8.882, 8.791, 9.409, 12.201, 13.892]"
4,2023-12-04 13:45:00+00:00,68,1,"[12.484000000000002, 12.227, 12.775, 12.463, 12.097, 11.448, 10.555, 10.0, 9.176, 9.085, 8.801, 8.573, 8.362, 8.471, 9.102, 10.8, 11.432]"
5,2023-12-06 12:00:00+00:00,4,1,"[14.103000000000002, 14.05]"
6,2023-12-06 16:15:00+00:00,8,1,"[16.528000000000002, 14.993000000000002]"
7,2023-12-08 15:15:00+00:00,15,1,"[11.799, 11.86, 10.556, 10.462000000000002]"
8,2023-12-10 16:30:00+00:00,57,1,"[8.542, 8.076, 7.805, 7.714, 7.802, 6.916, 3.444, 1.55, 1.2720000000000002, 0.862, 1.1820000000000002, 3.804, 7.459, 9.136]"
9,2023-12-30 09:00:00+00:00,7,1,"[2.391, 1.989]"
10,2024-01-05 16:15:00+00:00,11,1,"[10.845, 10.396, 10.009]"
11,2024-01-10 13:15:00+00:00,5,1,[12.38]
12,2024-01-26 09:45:00+00:00,7,1,"[5.914, 5.228]"
13,2024-02-18 08:00:00+00:00,26,1,"[4.303, 4.045, 4.1, 4.01, 3.988, 4.287, 5.429]"
14,2024-02-24 12:00:00+00:00,92,1,"[3.222, 3.76, 4.5, 5.595, 7.167, 8.0, 7.413, 6.517, 5.994, 5.622, 5.22, 5.657, 5.544, 5.538, 5.489, 5.519, 5.507, 5.671, 5.992, 6.158, 6.182, 5.631, 5.412, 5.0]"
15,2024-02-27 13:00:00+00:00,4,1,"[6.471, 7.206]"
16,2024-01-18 15:15:00+00:00,62,2,"[10.468, 10.326, 9.453, 8.697, 8.312, 8.093, 7.361, 7.058, 6.695, 6.563, 6.276, 6.332, 6.747, 7.794, 8.717]"
17,2023-12-14 19:00:00+00:00,79,3,"[10.281, 9.62, 9.446, 8.557, 8.613, 8.293000000000001, 8.01, 7.655, 7.516, 8.041, 9.597, 10.695, 12.15, 11.744, 10.997, 10.275, 9.413, 8.83, 8.690000000000001, 8.986]"
18,2024-01-16 11:30:00+00:00,81,3,"[9.498, 9.6, 11.025, 11.139, 12.815, 12.731, 11.177, 9.549, 8.621, 8.204, 7.769, 7.161, 7.152, 7.069, 6.974, 6.947, 7.106, 7.509, 8.439, 9.65]"
19,2023-10-23 12:45:00+00:00,11,1,"[12.872, 13.867, 15.497]"
20,2024-01-16 15:30:00+00:00,10,1,"[12.815, 12.731, 11.177]"
21,2023-10-25 12:15:00+00:00,11,1,"[13.813, 14.751, 15.373]"
22,2023-11-13 16:45:00+00:00,56,1,"[8.573, 8.127, 7.494, 6.136, 5.107, 1.01, 1.007, 0.105, -0.001, -0.008, -0.004, 0.104, 4.66, 7.691]"
23,2023-11-16 17:15:00+00:00,54,1,"[12.523, 12.118000000000002, 11.5, 11.02, 10.085, 10.6, 10.0, 9.565, 9.276, 9.57, 10.32, 11.935, 13.103000000000002]"
24,2023-12-03 08:00:00+00:00,23,1,"[10.015, 10.496, 10.507, 10.291, 10.0, 10.568]"
25,2023-12-06 18:15:00+00:00,49,1,"[12.991, 11.568, 10.733, 10.044, 9.92, 9.785, 9.686, 9.181000000000001, 8.992, 9.453, 11.658, 13.122]"
26,2023-12-12 16:30:00+00:00,57,1,"[10.5, 9.422, 9.215, 8.814, 8.337000000000002, 7.75, 7.536, 7.2959999999999985, 7.370000000000001, 7.143000000000001, 7.302, 7.545, 8.31, 10.241]"
27,2024-01-09 16:45:00+00:00,4,1,[13.78]
28,2024-01-09 17:45:00+00:00,52,1,"[13.043, 12.024, 11.168, 10.618, 9.709, 8.929, 8.676, 8.673, 8.609, 8.63, 8.905, 10.888, 12.629]"
