,1,2,3,4,5,6,7,energy_costs_ct_per_kWh
2023-10-06 22:00:00+00:00,0,12157800,0,0,0,11040000,0,0.005
2023-10-06 22:15:00+00:00,0,12157800,0,0,0,11040000,0,0.00475
2023-10-06 22:30:00+00:00,0,12157800,0,0,0,11040000,0,0.0045000000000000005
2023-10-06 22:45:00+00:00,0,12157800,0,0,0,11040000,0,0.00425
2023-10-06 23:00:00+00:00,0,12157800,12164470,0,0,11040000,0,0.004
2023-10-06 23:15:00+00:00,0,12157800,0,0,0,0,0,0.0055
2023-10-06 23:30:00+00:00,0,12157800,0,0,0,0,0,0.007
2023-10-06 23:45:00+00:00,0,12157800,0,0,0,0,0,0.0085
2023-10-07 00:00:00+00:00,0,12157800,0,0,0,0,0,0.01
2023-10-07 00:15:00+00:00,0,12157800,0,0,0,0,0,0.02425
2023-10-07 00:30:00+00:00,0,12157800,0,0,0,0,0,0.0385
2023-10-07 00:45:00+00:00,0,0,0,0,0,0,0,0.052750000000000005
2023-10-07 01:00:00+00:00,0,0,0,0,0,0,0,0.067
2023-10-07 01:15:00+00:00,0,0,0,0,0,0,0,0.202
2023-10-07 01:30:00+00:00,0,0,0,0,0,0,0,0.337
2023-10-07 01:45:00+00:00,0,0,0,0,0,0,0,0.47200000000000003
2023-10-07 02:00:00+00:00,0,0,0,0,0,0,0,0.6070000000000001
2023-10-07 02:15:00+00:00,0,0,0,0,0,0,0,0.98975
2023-10-07 02:30:00+00:00,0,0,0,0,0,0,0,1.3725
2023-10-07 02:45:00+00:00,0,0,0,0,0,0,0,1.7552499999999998
2023-10-07 03:00:00+00:00,0,0,0,0,0,0,0,2.138
2023-10-07 03:15:00+00:00,0,0,0,0,0,0,0,2.9145
2023-10-07 03:30:00+00:00,0,0,0,0,0,0,0,3.691
2023-10-07 03:45:00+00:00,0,0,0,0,0,0,0,4.467499999999999
2023-10-07 04:00:00+00:00,0,0,0,0,0,0,0,5.244
2023-10-07 04:15:00+00:00,0,0,0,0,0,0,0,5.6122499999999995
2023-10-07 04:30:00+00:00,0,0,0,0,0,0,0,5.9805
2023-10-07 04:45:00+00:00,0,0,0,0,0,0,0,6.348750000000001
2023-10-07 05:00:00+00:00,0,0,0,0,0,0,0,6.7170000000000005
2023-10-07 05:15:00+00:00,0,0,0,0,0,0,0,6.80825
2023-10-07 05:30:00+00:00,0,0,0,0,0,0,0,6.8995
2023-10-07 05:45:00+00:00,0,0,0,0,0,0,0,6.99075
2023-10-07 06:00:00+00:00,0,0,0,0,0,0,0,7.082
2023-10-07 06:15:00+00:00,0,0,0,0,0,0,0,7.02925
2023-10-07 06:30:00+00:00,0,0,0,0,0,0,0,6.9765
2023-10-07 06:45:00+00:00,0,0,0,0,0,0,0,6.92375
2023-10-07 07:00:00+00:00,0,0,0,0,0,0,0,6.871
2023-10-07 07:15:00+00:00,0,0,0,0,0,0,0,6.32375
2023-10-07 07:30:00+00:00,0,0,0,0,0,0,0,5.7765
2023-10-07 07:45:00+00:00,0,0,0,0,0,0,0,5.22925
2023-10-07 08:00:00+00:00,0,0,0,0,0,0,0,4.682
2023-10-07 08:15:00+00:00,0,0,0,0,0,0,0,4.002000000000001
2023-10-07 08:30:00+00:00,0,0,0,0,0,0,0,3.322
2023-10-07 08:45:00+00:00,0,0,0,0,0,0,0,2.642
2023-10-07 09:00:00+00:00,0,0,0,0,0,0,0,1.962
2023-10-07 09:15:00+00:00,0,0,0,0,0,0,0,1.7309999999999999
2023-10-07 09:30:00+00:00,0,0,0,0,0,0,0,1.5
2023-10-07 09:45:00+00:00,0,0,0,0,0,0,0,1.2690000000000001
2023-10-07 10:00:00+00:00,0,0,0,0,0,0,0,1.038
2023-10-07 10:15:00+00:00,0,0,0,0,0,0,0,0.784
2023-10-07 10:30:00+00:00,12192299,0,0,0,0,0,0,0.53
2023-10-07 10:45:00+00:00,12192299,0,13540099,0,0,0,0,0.276
2023-10-07 11:00:00+00:00,12192299,12157800,13540099,0,0,0,0,0.022
2023-10-07 11:15:00+00:00,12192299,12157800,13540099,0,0,0,0,0.0415
2023-10-07 11:30:00+00:00,12192299,0,13540099,0,0,0,0,0.061000000000000006
2023-10-07 11:45:00+00:00,12192299,0,13540099,0,0,0,0,0.08050000000000002
2023-10-07 12:00:00+00:00,12192299,0,13540099,0,0,0,0,0.1
2023-10-07 12:15:00+00:00,0,0,0,0,0,0,0,0.62525
2023-10-07 12:30:00+00:00,0,0,0,0,0,0,0,1.1505
2023-10-07 12:45:00+00:00,0,0,0,0,0,0,0,1.67575
2023-10-07 13:00:00+00:00,0,0,0,0,0,0,0,2.201
2023-10-07 13:15:00+00:00,0,0,0,0,0,0,0,3.1905
2023-10-07 13:30:00+00:00,0,0,0,0,0,0,0,4.180000000000001
2023-10-07 13:45:00+00:00,0,0,0,0,0,0,0,5.169500000000001
2023-10-07 14:00:00+00:00,0,0,0,0,0,0,0,6.159000000000001
2023-10-07 14:15:00+00:00,0,0,0,0,0,0,0,6.7802500000000006
2023-10-07 14:30:00+00:00,0,0,0,0,0,0,0,7.4015
2023-10-07 14:45:00+00:00,0,0,0,0,0,0,0,8.02275
2023-10-07 15:00:00+00:00,0,0,0,0,0,0,0,8.644
2023-10-07 15:15:00+00:00,0,0,0,0,0,0,0,9.040000000000001
2023-10-07 15:30:00+00:00,0,0,0,0,0,0,0,9.436
2023-10-07 15:45:00+00:00,0,0,0,0,0,0,0,9.832
2023-10-07 16:00:00+00:00,0,0,0,0,0,0,0,10.228000000000002
2023-10-07 16:15:00+00:00,0,0,0,0,0,0,0,10.39375
2023-10-07 16:30:00+00:00,0,0,0,0,0,0,0,10.5595
2023-10-07 16:45:00+00:00,0,0,0,0,0,0,0,10.72525
2023-10-07 17:00:00+00:00,0,0,0,0,0,0,0,10.891
2023-10-07 17:15:00+00:00,0,0,0,0,0,0,0,10.66825
2023-10-07 17:30:00+00:00,0,0,0,0,0,0,0,10.4455
2023-10-07 17:45:00+00:00,0,0,0,0,0,0,0,10.22275
2023-10-07 18:00:00+00:00,0,0,0,0,0,0,0,10.0
2023-10-07 18:15:00+00:00,0,0,0,0,0,0,0,9.59975
2023-10-07 18:30:00+00:00,0,0,0,0,0,0,0,9.1995
