,device_1_plugged_in,device_2_plugged_in,device_3_plugged_in,device_4_plugged_in,device_5_plugged_in,device_6_plugged_in,device_7_plugged_in,device_1_kWh_charged,device_2_kWh_charged,device_3_kWh_charged,device_4_kWh_charged,device_5_kWh_charged,device_6_kWh_charged,device_7_kWh_charged
2023-10-06 00:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 00:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 00:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 00:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 01:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 01:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 01:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 01:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 02:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 02:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 02:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 02:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 03:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 03:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 03:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 03:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 04:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 04:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 04:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 04:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 05:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 05:15:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 05:30:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 05:45:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 06:00:00+00:00,True,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 06:15:00+00:00,False,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06 06:30:00+00:00,False,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 06:45:00+00:00,False,True,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 07:00:00+00:00,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 07:15:00+00:00,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 07:30:00+00:00,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 07:45:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 08:00:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 08:15:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 08:30:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 08:45:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
2023-10-06 09:00:00+00:00,True,False,False,False,True,False,False,2.0635058686868692,0.0,0.0,0.0,0.06000570019157088,0.0,0.0
